"Analyzed impact(s) if """"other""""",n
change_behavior,25
parasitism,14
change_behaviour,12
disease,9
toxicity,9
biodegradation,4
change behaviour,4
diseases,3
noise,3
first_occurence,2
injuries,2
new_species_occurence,2
oil_degradation,2
vulnerability,2
"auditory_injury, behavioural_disturbance",1
bioerosion,1
burn_residue_after_spill,1
change-behavior,1
change_bacterial_flora,1
change_bahavior,1
"change_behaviour, noise",1
change_behavioural_response,1
change_connectivity,1
change_migration_routes|||change_flight_behavior,1
climate_change_scenario,1
climate_change_scenarios,1
climate_change_vulnerability,1
connectivity,1
copepod_infestation,1
crude_oils_characterisation,1
damage,1
disease_occurence|||disease,1
displacement,1
ecophysiological_capability,1
extinction,1
fishing_disturbance,1
general_marine_macrolitter,1
genotoxicity,1
habitat_sensitivity,1
habitat_use,1
immune_system,1
infection,1
infection_trematode|||parasite_infection,1
ingestion_marine_debris,1
injury,1
litter_ingestion,1
mining_waste,1
new_occurence,1
new_occurences,1
new_species_introduction,1
noise|||noise_level,1
noise|||sound,1
nonlethal_injuries,1
oil_recovery,1
oil_spill_spreading,1
oil_spreading,1
parasite infection|||parasite_infections,1
parasite_infection,1
parasite_infestation,1
parasite_occurence,1
parasite_transmission,1
physiological_integration,1
pollutant_dispersal,1
potential_risks,1
precipitation,1
regime_shift,1
risk_evaluation,1
sea_level_rise,1
sensibility_vulnerability,1
skull_pathologies,1
species_identification,1
species_introduction,1
species_introduction_biofouling,1
spread_nis,1
survival_rate,1
sustainability_index,1
toxicity_reaction,1
toxicity|||lethal toxicity,1
trait_profiles_nis,1
turbidity|||water_transparency,1
uncertainty_in_cc_impact_modelling,1
wave_climate,1
wave|||wave_height,1
